sample_id,s_mean,hardness_mean,sat_frac,M_mean,M_p99,frac_M_gt_0.5,rho_M_prior
02739,0.211834,0.018497,0.941071,0.037402,0.313721,0.003348,0.361318
02754,0.051341,0.008602,0.973006,0.0458,0.285889,0.002769,0.209963
02757,0.374066,0.065922,0.789602,0.014171,0.096008,0.002291,0.274663
02762,0.517208,0.048686,0.845543,0.015709,0.130493,0.00289,0.355507
02778,0.449537,0.036872,0.883511,0.018,0.13916,0.002584,0.346518
02786,0.127102,0.015799,0.949896,0.039808,0.32251,0.003536,0.332147
02816,0.199697,0.013105,0.958537,0.035806,0.258057,0.00238,0.270149
02821,0.200787,0.018876,0.93996,0.033535,0.258789,0.002482,0.289123
02846,0.053982,0.007244,0.977016,0.041654,0.304688,0.003049,0.38664
02860,0.071718,0.011602,0.963282,0.049058,0.400635,0.005118,0.358121
02869,0.138119,0.013715,0.956495,0.038062,0.272461,0.002419,0.313813
02896,0.216671,0.019374,0.938553,0.035006,0.336182,0.005142,0.228262
02956,0.133214,0.012322,0.96078,0.045154,0.369385,0.004252,0.419173
03019,0.142283,0.015181,0.95149,0.028581,0.188354,0.001976,0.35608
03045,0.160736,0.015737,0.950128,0.036222,0.281006,0.003451,0.249598
03100,0.101654,0.009334,0.970328,0.031378,0.289551,0.002295,0.376313
03109,0.103842,0.010862,0.965154,0.027405,0.210815,0.001993,0.358847
03143,0.122459,0.010423,0.966857,0.027932,0.214242,0.001842,0.355563
03173,0.072889,0.010827,0.965637,0.034024,0.32251,0.003462,0.357176
03219,0.136421,0.009409,0.970282,0.030231,0.284912,0.002698,0.37881
03260,0.1191,0.008734,0.972623,0.03445,0.285889,0.002565,0.39073
03281,0.151184,0.010997,0.965237,0.042624,0.340088,0.003894,0.387092
03289,0.117288,0.009653,0.969428,0.048657,0.348877,0.003164,0.435285
03354,0.101805,0.013192,0.958219,0.046371,0.269775,0.002272,0.457134
03375,0.066241,0.009297,0.970617,0.052212,0.357178,0.003607,0.502848
03381,0.089301,0.009636,0.969337,0.043549,0.336914,0.004436,0.440246
03409,0.121235,0.008224,0.973929,0.032153,0.253906,0.002906,0.41437
03417,0.137491,0.012418,0.96026,0.051269,0.406738,0.004589,0.455037
03433,0.096106,0.012591,0.961033,0.031495,0.27124,0.002471,0.36137
03438,0.131864,0.011765,0.962683,0.032915,0.258789,0.002678,0.335318
03462,0.11695,0.014152,0.955343,0.038834,0.286377,0.003574,0.33458
03473,0.172943,0.024711,0.921862,0.047382,0.411133,0.006254,0.279202
03575,0.112449,0.009042,0.971663,0.038627,0.307373,0.002838,0.404168
03589,0.144405,0.009588,0.969601,0.026565,0.20813,0.002625,0.341409
03600,0.160175,0.011312,0.964263,0.039392,0.298828,0.003652,0.406878
